,Player,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G_x,A_x,P_x,G_y,A_y,P_y,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
0,Jack Laviolette,R,D,1879-07-27,Belleville,ON,CAN,CAN,71,170,--,--,--,19171918,Y,18,2,1,3,2,1,3,0,6,0.17,--,--,--,--,--,--,0,0,--,--,--,--
1,Ken Thompson,L,L,1881-05-29,Oakengates,--,GBR,GBR,70,160,--,--,--,19171918,N,1,0,0,0,0,0,0,0,0,0.0,--,--,--,--,--,--,0,0,--,--,--,--
2,Joe Hall,R,D,1882-05-03,Staffordshire,--,GBR,GBR,70,175,--,--,--,19171918,Y,37,15,9,24,15,9,24,0,230,0.65,--,--,--,--,--,--,0,1,--,--,--,--
3,Didier Pitre,R,R,1883-09-01,Valleyfield,QC,CAN,CAN,71,185,--,--,--,19171918,Y,127,64,35,99,64,35,99,0,87,0.78,--,--,--,--,--,--,0,12,--,--,--,--
4,Lester Patrick,L,D,1883-12-30,Drummondville,QC,CAN,CAN,73,180,--,--,--,19261927,Y,1,0,0,0,0,0,0,0,2,0.0,--,--,--,--,--,--,0,0,--,--,--,--
5,Paul Jacobs,L,D,1884-03-09,Montréal,QC,CAN,CAN,68,160,--,--,--,19181919,N,1,0,0,0,0,0,0,0,0,0.0,--,--,--,--,--,--,0,0,--,--,--,--
6,Jack Marks,L,L,1885-06-11,Brantford,ON,CAN,CAN,72,180,--,--,--,19171918,N,7,0,0,0,0,0,0,0,4,0.0,--,--,--,--,--,--,0,0,--,--,--,--
7,Bobby Rowe,L,R,1885-08-19,Heathcote,ON,CAN,CAN,66,160,--,--,--,19241925,N,4,1,0,1,1,0,1,0,0,0.25,--,--,--,--,--,--,0,0,--,--,--,--
8,Rusty Crawford,L,L,1885-11-07,Cardinal,ON,CAN,CAN,71,165,--,--,--,19171918,Y,38,10,8,18,10,8,18,0,115,0.47,--,--,--,--,--,--,0,0,--,--,--,--
9,Horace Merrill,L,D,1885-11-30,Ottawa,ON,CAN,CAN,69,176,--,--,--,19171918,N,9,0,0,0,0,0,0,0,3,0.0,--,--,--,--,--,--,0,0,--,--,--,--
10,Art Ross,L,D,1886-01-13,Naughton,ON,CAN,CAN,71,190,--,--,--,19171918,Y,3,1,0,1,1,0,1,0,12,0.33,--,--,--,--,--,--,0,0,--,--,--,--
11,Hamby Shore,L,D,1886-02-12,Ottawa,ON,CAN,CAN,72,175,--,--,--,19171918,N,18,3,8,11,3,8,11,0,51,0.61,--,--,--,--,--,--,0,0,--,--,--,--
12,Tommy Smith,L,C,1886-09-27,Ottawa,ON,CAN,CAN,66,150,--,--,--,19191920,Y,10,0,1,1,0,1,1,0,11,0.1,--,--,--,--,--,--,0,0,--,--,--,--
13,Jack McDonald,R,L,1887-02-28,Québec City,QC,CAN,CAN,70,154,--,--,--,19171918,N,70,26,14,40,26,14,40,0,27,0.57,--,--,--,--,--,--,1,3,--,--,--,--
14,Louis Berlinquette,L,L,1887-05-26,Papineau,QC,CAN,CAN,71,175,--,--,--,19171918,N,193,45,32,77,45,32,77,0,132,0.4,--,--,--,--,--,--,0,7,--,--,--,--
15,Fred Doherty,L,R,1887-08-15,Norwood,ON,CAN,CAN,68,160,--,--,--,19181919,N,2,0,0,0,0,0,0,0,0,0.0,--,--,--,--,--,--,0,0,--,--,--,--
16,Evariste Payer,L,C,1887-12-12,Rockland,ON,CAN,CAN,66,150,--,--,--,19171918,N,1,0,0,0,0,0,0,0,0,0.0,--,--,--,--,--,--,0,0,--,--,--,--
17,Ken Randall,R,R,1887-12-14,Kingston,ON,CAN,CAN,70,180,--,--,--,19171918,N,219,69,51,120,69,51,120,0,581,0.55,--,--,--,--,--,--,0,15,--,--,--,--
18,Don Smith,L,L,1888-06-03,Cornwall,ON,CAN,CAN,67,160,--,--,--,19191920,N,12,1,0,1,1,0,1,0,6,0.08,--,--,--,--,--,--,0,0,--,--,--,--
19,Newsy Lalonde,R,C,1888-10-31,Cornwall,ON,CAN,CAN,69,168,--,--,--,19171918,Y,99,125,42,167,125,42,167,0,185,1.69,--,--,--,--,--,--,1,14,--,--,--,--
20,Jack Walker,L,L,1888-11-29,Silver Mountain,ON,CAN,CAN,68,153,--,--,--,19261927,Y,84,5,8,13,5,8,13,0,16,0.15,--,--,--,--,--,--,0,1,--,--,--,--
21,Harry Hyland,R,R,1889-01-02,Montréal,QC,CAN,CAN,66,156,--,--,--,19171918,Y,17,14,2,16,14,2,16,0,65,0.94,--,--,--,--,--,--,0,2,--,--,--,--
22,Skene Ronan,L,D,1889-02-09,Ottawa,ON,CAN,CAN,66,150,--,--,--,19181919,N,11,0,0,0,0,0,0,0,6,0.0,--,--,--,--,--,--,0,0,--,--,--,--
23,Harry Mummery,L,D,1889-08-25,Chicago,IL,USA,USA,71,220,--,--,--,19171918,N,106,32,20,52,32,20,52,0,225,0.49,--,--,--,--,--,--,0,3,--,--,--,--
24,Moylan McDonnell,R,D,1889-08-27,Stony Mountain,MB,CAN,CAN,69,145,--,--,--,19201921,N,22,1,2,3,1,2,3,0,2,0.14,--,--,--,--,--,--,0,0,--,--,--,--
25,Raymie Skilton,R,D,1889-09-26,Cambridge,MA,USA,USA,70,190,--,--,--,19171918,N,1,0,0,0,0,0,0,0,0,0.0,--,--,--,--,--,--,0,0,--,--,--,--
26,Harry Cameron,R,D,1890-02-06,Pembroke,ON,CAN,CAN,70,155,--,--,--,19171918,Y,129,88,54,142,88,54,142,0,180,1.1,--,--,--,--,--,--,3,15,--,--,--,--
27,Eddie Gerard,L,L,1890-02-22,Ottawa,ON,CAN,CAN,69,168,--,--,--,19171918,Y,128,50,51,101,50,51,101,0,126,0.79,--,--,--,--,--,--,0,3,--,--,--,--
28,Joe Malone,L,C,1890-02-28,Quebec City,QC,CAN,CAN,70,150,--,--,--,19171918,Y,126,143,33,176,143,33,176,0,57,1.4,--,--,--,--,--,--,3,11,--,--,--,--
29,Sprague Cleghorn,L,D,1890-03-11,Montréal,QC,CAN,CAN,70,190,--,--,--,19181919,Y,262,85,63,148,85,63,148,0,549,0.56,--,--,--,--,--,--,2,12,--,--,--,--
30,Lloyd Cook,L,D,1890-03-21,Lynden,ON,CAN,CAN,72,170,--,--,--,19241925,N,4,1,0,1,1,0,1,0,0,0.25,--,--,--,--,--,--,0,0,--,--,--,--
31,Ed Carpenter,R,D,1890-06-15,Hartford,MI,USA,USA,72,170,--,--,--,19191920,N,45,10,5,15,10,5,15,0,41,0.33,--,--,--,--,--,--,0,0,--,--,--,--
32,Bernie Morris,R,C,1890-08-21,Regina,SK,CAN,CAN,67,145,--,--,--,19241925,N,6,1,1,2,1,1,2,0,0,0.33,--,--,--,--,--,--,1,1,--,--,--,--
33,Smokey Harris,L,L,1890-10-11,Port Arthur,ON,CAN,CAN,71,165,--,--,--,19241925,N,6,3,1,4,3,1,4,0,8,0.67,--,--,--,--,--,--,0,0,--,--,--,--
34,Jack Darragh,R,R,1890-12-04,Ottawa,ON,CAN,CAN,70,168,--,--,--,19171918,Y,121,68,49,117,68,49,117,0,107,0.97,--,--,--,--,--,--,0,12,--,--,--,--
35,Frank Foyston,L,C,1891-02-02,Minesing,ON,CAN,CAN,69,158,--,--,--,19261927,Y,64,17,7,24,17,7,24,0,30,0.38,--,--,--,--,--,--,1,4,--,--,--,--
36,Herb Gardiner,L,D,1891-05-08,Winnipeg,MB,CAN,CAN,70,190,--,--,--,19261927,Y,100,10,10,20,10,10,20,0,48,0.2,--,--,--,--,--,--,0,1,--,--,--,--
37,Johnny Matz,R,C,1891-06-01,Omaha,NE,USA,USA,0,0,--,--,--,19241925,N,30,2,4,6,2,4,6,0,0,0.2,--,--,--,--,--,--,0,2,--,--,--,--
38,George O'Grady,L,D,1891-06-08,Montréal,QC,CAN,CAN,68,175,--,--,--,19171918,N,4,0,0,0,0,0,0,0,0,0.0,--,--,--,--,--,--,0,0,--,--,--,--
39,Billy Bell,R,C,1891-06-10,Lachine,QC,CAN,CAN,70,180,--,--,--,19171918,N,67,3,3,6,3,3,6,0,12,0.09,--,--,--,--,--,--,0,0,--,--,--,--
40,Art Duncan,R,D,1891-07-04,Sault Ste. Marie,ON,CAN,CAN,73,190,--,--,--,19261927,N,156,18,16,34,18,16,34,0,233,0.22,--,--,--,--,--,--,1,5,--,--,--,--
41,Ed Lowrey,R,C,1891-08-13,Manotick,ON,CAN,CAN,66,160,--,--,--,19171918,N,22,2,2,4,2,2,4,0,6,0.18,--,--,--,--,--,--,0,0,--,--,--,--
42,Odie Cleghorn,R,R,1891-09-19,Montréal,QC,CAN,CAN,69,195,--,--,--,19181919,N,182,94,35,129,94,35,129,0,150,0.71,--,--,--,--,--,--,0,10,--,--,--,--
43,Goldie Prodgers,R,C,1891-10-18,London,ON,CAN,CAN,70,180,--,--,--,19191920,N,111,63,33,96,63,33,96,0,39,0.86,--,--,--,--,--,--,1,5,--,--,--,--
44,Cy Denneny,L,L,1891-12-23,Farran's Point,ON,CAN,CAN,67,168,--,--,--,19171918,Y,329,247,89,336,247,89,336,0,296,1.02,--,--,--,--,--,--,7,50,--,--,--,--
45,Frank Heffernan,L,D,1892-01-12,Peterborough,ON,CAN,CAN,72,210,--,--,--,19191920,N,19,0,1,1,0,1,1,0,10,0.05,--,--,--,--,--,--,0,0,--,--,--,--
46,Dave Ritchie,R,D,1892-01-12,Montréal,QC,CAN,CAN,67,180,--,--,--,19171918,N,57,15,6,21,15,6,21,0,50,0.37,--,--,--,--,--,--,0,2,--,--,--,--
47,Billy Coutu,L,D,1892-03-01,North Bay,ON,CAN,CAN,71,190,--,--,--,19171918,N,247,33,23,56,33,23,56,0,502,0.23,--,--,--,--,--,--,1,7,--,--,--,--
48,Edmond Bouchard,L,L,1892-05-24,St-Etienne,QC,CAN,CAN,70,185,--,--,--,19211922,N,223,19,24,43,19,24,43,0,133,0.19,--,--,--,--,--,--,0,7,--,--,--,--
49,Leo Reise Sr.,R,D,1892-06-01,Pembroke,ON,CAN,CAN,71,175,--,--,--,19201921,N,223,39,35,74,39,35,74,0,204,0.33,--,--,--,--,--,--,1,5,--,--,--,--
50,Cully Wilson,R,R,1892-06-05,Winnipeg,MB,CAN,CAN,68,180,--,--,--,19191920,N,130,59,28,87,59,28,87,0,245,0.67,--,--,--,--,--,--,0,2,--,--,--,--
51,Jack Coughlin,R,R,1892-06-06,Douro,ON,CAN,CAN,70,170,--,--,--,19171918,N,18,2,0,2,2,0,2,0,3,0.11,--,--,--,--,--,--,0,0,--,--,--,--
52,Punch Broadbent,R,R,1892-07-13,Ottawa,ON,CAN,CAN,67,183,--,--,--,19181919,Y,303,120,52,172,120,52,172,0,576,0.57,--,--,--,--,--,--,5,25,--,--,--,--
